dataset,battery_name,window_start,mse,mae,rmse,mse_raw,mae_raw,rmse_raw
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,250,0.020304196619625313,0.13969881050401906,0.1424927949744313,0.020304196619625313,0.13969881050401906,0.1424927949744313
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,300,0.03497700978926746,0.18342094582264917,0.18702141532259736,0.03497700978926746,0.18342094582264917,0.18702141532259736
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,350,0.04927308737352755,0.21976542947593075,0.22197542065176393,0.04927308737352755,0.21976542947593075,0.22197542065176393
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_a,50,0.0375503346288012,0.19235362098753267,0.193779087181257,0.0375503346288012,0.19235362098753267,0.193779087181257
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,0,0.0720629307173568,0.26669483755133044,0.2684453961560093,0.0720629307173568,0.26669483755133044,0.2684453961560093
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,100,0.04184773040850713,0.20198977422726025,0.20456717822883302,0.04184773040850713,0.20198977422726025,0.20456717822883302
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,150,0.031157549728740186,0.17396029198915547,0.17651501275738612,0.031157549728740186,0.17396029198915547,0.17651501275738612
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,200,0.020197772739662855,0.1395761738083216,0.14211886834499793,0.020197772739662855,0.1395761738083216,0.14211886834499793
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,250,0.01770565734837094,0.12993497344192384,0.13306260687500054,0.01770565734837094,0.12993497344192384,0.13306260687500054
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,300,0.01017815771300822,0.09525210444801104,0.10088685599724188,0.01017815771300822,0.09525210444801104,0.10088685599724188
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,350,0.007313967911794415,0.08103398016537117,0.08552173941048215,0.007313967911794415,0.08103398016537117,0.08552173941048215
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_b,50,0.05368888583788088,0.22938578679692057,0.23170862270938664,0.05368888583788088,0.22938578679692057,0.23170862270938664
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,0,0.012020907173719175,0.08376007301884653,0.10963989772760269,0.012020907173719175,0.08376007301884653,0.10963989772760269
test_HNEI,HNEI_18650_NMC_LCO_25C_0-100_0.5-1.5C_c,100,0.04536585347173645,0.21128334403873716,0.21299261365534827,0.04536585347173645,0.21128334403873716,0.21299261365534827
